Bit_Flipped,KEY1_hex,KEY2_hex,Plaintext,Plaintext_hex,MDLAES_CT_under_KEY1_hex,MDLAES_CT_under_KEY2_hex,Hamming_Distance_bits,AE_percent
112,644B726F395761686D65236448726E37,644B726F395761686D6523644872EE37,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,8F9510E5CF2883EA0AB04F98BB79C6B9,69,53.91
8,644B726F395761686D65236448726E37,64CB726F395761686D65236448726E37,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,258BBE02D09F46BA6ECB6AD48A4FE7E3,69,53.91
24,644B726F395761686D65236448726E37,644B72EF395761686D65236448726E37,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,A62F7A9DB4C04F72122DB73E23D74D05,67,52.34
40,644B726F395761686D65236448726E37,644B726F39D761686D65236448726E37,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,40B91411FA578DEB7052608394D24AC5,67,52.34
56,644B726F395761686D65236448726E37,644B726F395761E86D65236448726E37,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,B1BF3C1AAAAD70CCC55C851C1FEB172E,74,57.81
72,644B726F395761686D65236448726E37,644B726F395761686DE5236448726E37,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,51588E32C9452153A0BD1B0B28DA47A2,60,46.88
88,644B726F395761686D65236448726E37,644B726F395761686D6523E448726E37,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,D1725D5C42748CE12B539A749F352158,70,54.69
100,644B726F395761686D65236448726E37,644B726F395761686D65236440726E37,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,FA3411D3CE1F62A407C5ABC5215C3E3E,65,50.78
116,644B726F395761686D65236448726E37,644B726F395761686D65236448726637,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,30CE5942A2CC593116ADE7186B86A9C9,60,46.88
120,644B726F395761686D65236448726E37,644B726F395761686D65236448726EB7,I Love Unilorin!,49204C6F766520556E696C6F72696E21,1E9CD76F1AC72D7DA7A8D4634119AF93,564E9B5CAA936C9A10AD49B503BB7330,59,46.09
